id,name
0,"brush hair.A hand holds a brush near the head, with bristles touching long hair strands. The brush is angled slightly downward, moving through the hair's length."
1,"cartwheel.A person's body is inverted sideways, with hands planted on the ground, legs extended in a split position, and arms supporting the weight while the torso rotates laterally."
2,"catch.A person's hand extends forward, fingers slightly curled, palm facing upward, positioned to grasp an object suspended in mid-air near the fingertips."
3,"chew.The mouth is slightly open, with teeth gently pressing together. The jaw moves upward, compressing food between the molars. Lips remain relaxed, partially covering the teeth."
4,"clap.Two hands facing each other, palms aligned horizontally, fingers slightly curved inward, positioned symmetrically at chest height with a small gap between them."
5,"climb.A person reaches upward, grasping a higher hold with hands while feet press against a lower surface, body stretched between two levels."
6,"climb stairs.A person stands on a staircase, one foot on a higher step, the other on a lower step, hands gripping the railing or resting on thighs, body leaning slightly forward."
7,"dive.A person's body is extended horizontally, arms stretched forward, legs straight and together, angled downward toward the ground or water."
8,"draw sword.A hand grips the hilt of a sword, fingers curled around it, while the blade extends upward at an angle from the scabbard, partially unsheathed."
9,"dribble.A hand positioned above a basketball, fingers spread and slightly curved, palm facing downward, with the ball in mid-air just below the fingertips."
10,"drink.A person's hand holds a cup near their mouth, tilted slightly upward. The lips are parted, touching the cup's rim, ready to sip the liquid inside."
11,"eat.A person holds a utensil near their mouth, with food on it. The hand is slightly raised, bringing the food towards the lips. The head tilts forward slightly to meet the utensil."
12,"fall floor.A person lies horizontally on the ground, limbs loosely extended or slightly bent, with the torso and head resting flat against the floor."
13,"fencing.Two fencers stand facing each other, blades extended forward, tips nearly touching. Their bodies are slightly turned sideways, one foot forward, knees bent, maintaining a balanced stance."
14,"flic flac.A person's body arches backward, hands touch the ground as legs swing over in a smooth, inverted arc, forming a continuous semicircular motion."
15,"golf.A golfer stands with feet apart, knees slightly bent, gripping a club. The club is raised behind the head, arms extended, shoulders rotated. The head is down, eyes focused on the ball."
16,"handstand.The person's hands are flat on the ground, arms straight and shoulder-width apart. The legs extend vertically upward, aligned with the torso, forming a straight line perpendicular to the ground."
17,"hit.A hand swings a bat towards a ball, making contact. The bat is angled slightly upward, the ball is positioned just above the bat's center."
18,"hug.Two people stand facing each other, arms wrapped around each other's shoulders or torso, heads tilted slightly inward, with bodies pressed closely together."
19,"jump.A person bends knees, arms swing back; feet leave the ground, body extends upward; legs straighten mid-air, torso leans slightly forward."
20,"kick.A foot extends forward, contacting a stationary ball. The leg is bent at the knee, with the toes pointing downward. The ball is positioned slightly in front of the supporting foot."
21,"kick ball.A foot is extended forward, making contact with a spherical ball positioned slightly ahead on the ground. The leg is bent at the knee, and the toes point toward the ball."
22,"kiss.Two faces close together, lips touching lightly. One person's head slightly tilted, the other's aligned, noses nearly brushing. Eyes closed or softly focused."
