id,name
0,getting a tattoo
1,picking fruit
2,weaving basket
3,playing xylophone
4,surfing water
5,making snowman
6,sharpening pencil
7,petting cat
8,catching or throwing baseball
9,petting animal not cat
10,cutting watermelon
11,welding
12,lunge
13,parasailing
14,waxing chest
15,sticking tongue out
16,swimming breast stroke
17,sled dog racing
18,slacklining
19,triple jump
20,playing volleyball
21,trapezing
22,playing didgeridoo
23,kitesurfing
24,paragliding
25,scrambling eggs
26,balloon blowing
27,deadlifting
28,situp
29,shuffling cards
30,stretching leg
31,tapping guitar
32,throwing axe
33,high kick
34,playing chess
35,wrapping present
36,finger snapping
37,tying knot not on a tie
38,playing bagpipes
39,dancing gangnam style
40,kicking field goal
41,hurling sport
42,long jump
43,golf driving
44,catching or throwing softball
45,smoking hookah
46,busking
47,curling hair
48,ice climbing
49,folding napkins
50,unboxing
51,opening present
52,washing feet
53,eating burger
54,riding unicycle
55,cleaning floor
56,sailing
57,passing American football in game
58,surfing crowd
59,playing cricket
60,shoveling snow
61,folding paper
62,shaking head
63,robot dancing
64,laughing
65,baking cookies
66,chopping wood
67,playing drums
68,clean and jerk
69,driving tractor
70,javelin throw
71,crossing river
72,spray painting
73,playing ice hockey
74,washing hands
75,playing saxophone
76,doing nails
77,dribbling basketball
78,using computer
79,bookbinding
80,playing badminton
81,brushing hair
82,eating ice cream
83,juggling balls
84,playing accordion
85,waxing legs
86,feeding fish
87,beatboxing
88,snowboarding
89,snatch weight lifting
90,tap dancing
91,shaving head
92,breakdancing
93,giving or receiving award
94,dancing macarena
95,high jump
96,scuba diving
97,front raises
98,roller skating
99,trimming or shaving beard
100,milking cow
101,cooking chicken
102,playing squash or racquetball
103,pole vault
104,shot put
105,side kick
106,playing trumpet
107,somersaulting
108,snorkeling
109,shearing sheep
110,playing harmonica
111,crying
112,swimming backstroke
113,feeding goats
114,pumping fist
115,country line dancing
116,playing clarinet
117,biking through snow
118,ski jumping
119,washing dishes
120,passing American football not in game
121,dying hair
122,catching or throwing frisbee
123,bungee jumping
124,presenting weather forecast
125,filling eyebrows
126,smoking
127,diving cliff
128,hitting baseball
129,barbequing
130,massaging back
131,flying kite
132,belly dancing
133,climbing tree
134,driving car
135,pushing car
136,tai chi
137,bowling
138,playing cello
139,riding elephant
140,golf putting
141,dunking basketball
142,playing paintball
143,playing poker
144,throwing discus
145,windsurfing
146,headbanging
147,motorcycling
148,zumba
149,capoeira
150,jumping into pool
151,walking the dog
152,bench pressing
153,yoga
154,jetskiing
155,canoeing or kayaking
156,playing guitar
157,tango dancing
158,mowing lawn
159,pull ups
160,skateboarding
161,arm wrestling
162,playing bass guitar
163,feeding birds
164,playing tennis
165,riding or walking with horse
166,skiing not slalom or crosscountry
167,hula hooping
168,marching
169,abseiling
170,ice skating
171,archery
172,reading book
173,contact juggling
174,air drumming
175,making pizza
176,playing violin
177,rock climbing
178,blowing glass
179,playing recorder
180,playing trombone
181,singing
182,spinning poi
183,cheerleading
184,brushing teeth
185,dancing ballet
186,playing ukulele
187,tobogganing
188,hammer throw
189,salsa dancing
190,squat
191,playing basketball
192,crawling baby
193,eating spaghetti
194,gymnastics tumbling
195,punching bag
196,snowkiting
197,blowing out candles
198,pushing cart
199,playing harp
200,tying bow tie
201,using segway
202,springboard diving
203,taking a shower
204,blowing leaves
205,yawning
206,sniffing
207,digging
208,shredding paper
209,cooking on campfire
210,unloading truck
211,drinking shots
212,washing hair
213,swinging legs
214,applauding
215,bending metal
216,drumming fingers
217,water sliding
218,climbing a rope
219,whistling
220,recording music
221,grinding meat
222,making tea
223,exercising arm
224,reading newspaper
225,news anchoring
226,jogging
227,laying bricks
228,moving furniture
229,sharpening knives
230,rock scissors paper
231,running on treadmill
232,building shed
233,plastering
234,bee keeping
235,holding snake
236,waiting in line
237,gargling
238,building cabinet
239,shooting goal soccer
