id,name
0,"getting a tattoo.A person's arm lies extended on a table, a tattoo machine hovers above the skin, pressing ink into the flesh as the artist's gloved hand steadies the limb."
1,"picking fruit.A hand reaches upward toward a cluster of fruit hanging from a branch, fingers slightly curled to grasp, with the fruit positioned just above the palm."
2,"weaving basket.Hands interlace thin, flexible strands in overlapping horizontal and vertical layers, forming a gradually rising, symmetrical woven structure with even spacing between strands."
3,"playing xylophone.A person stands facing a xylophone, hands holding mallets poised above the colorful bars arranged in ascending order from left to right."
4,"surfing water.A person stands upright on a surfboard, feet shoulder-width apart, knees slightly bent, arms extended sideways for balance, facing the wave's direction."
5,"making snowman.Three stacked snowballs: large at bottom, medium in middle, small on top; arms as sticks on sides; stones for eyes and mouth; carrot nose protruding."
6,sharpening pencil.A hand holds a pencil at a slight angle against a sharpener's blade. The pencil tip is partially inserted into the sharpener's conical opening. Shavings curl away from the contact point.
7,"petting cat.A hand gently rests on a cat's head, fingers slightly curved, palm facing down. The cat's ears are upright, its fur smooth beneath the hand."
8,"catching or throwing baseball.A hand grips a baseball, fingers curled around the seams. The arm is extended forward or backward, elbow bent, wrist firm. The ball rests near the palm, ready for motion."
9,"petting animal (not cat).A hand gently rests on the animal's head or back, fingers slightly curved, palm making light contact with its fur. The animal stands or sits calmly beneath the touch."
10,"cutting watermelon.A knife slices through a watermelon's green rind, revealing red flesh inside. The blade is halfway embedded, with juice glistening on the cut surface. Seeds are scattered near the incision."
11,"welding.A welder in protective gear holds a torch, emitting a bright arc. Molten metal glows at the joint, with sparks scattering outward. The torch tip is close to the metal surface."
12,"lunge.One leg is bent forward at 90 degrees, knee aligned over the foot; the other leg is extended straight back, toes on the ground, torso upright."
13,"parasailing.A person is suspended in a parachute, harnessed and seated, connected by ropes to a boat below. The parachute is fully inflated, billowing above the person."
14,"waxing chest.A person's hand holds a wax strip above their chest, with the strip slightly lifted at one end, ready to be pulled across the skin."
15,"sticking tongue out.The tongue protrudes forward from the mouth, extending slightly beyond the lips, with its tip curved upward or downward, while the lips remain parted."
16,"swimming breaststroke.The swimmer's arms extend forward symmetrically, elbows slightly bent, palms facing outward. Legs are drawn up with knees bent and feet turned outward, ready to push back."
17,"sled dog racing.A team of dogs harnessed in pairs pulls a sled, with a musher standing on the runners behind them, gripping the handlebar. The dogs are aligned in a straight line."
