id,name
0,"getting a tattoo.The needle swiftly moves across the skin, tracing intricate lines as ink gradually fills the design. The artist's hand shifts rhythmically, blending shades while the client remains steady."
1,"picking fruit.The hand reaches out towards the fruit, fingers gently wrapping around it, then pulls back, detaching the fruit from the branch with a slight twist."
2,"weaving basket.The hands swiftly intertwine thin strands, crossing them over and under in a rhythmic pattern. Fingers deftly pull and tighten the materials, gradually forming the basket's rising walls."
3,"playing xylophone.The hands swiftly move across the xylophone, striking the bars in rhythmic succession, while the arms alternate smoothly to produce a melodic sequence. The mallets rise and fall with precision, creating a continuous flow of harmonious notes."
4,"surfing water.The surfer paddles through the waves, then swiftly stands up on the board, balancing as they glide across the water's surface. They shift their weight to maneuver, carving turns before eventually losing balance and falling into the water."
5,"making snowman.The person rolls a small snowball into a larger one, then stacks them to form the snowman's body and head. Finally, they add sticks for arms and stones for facial features."
6,"sharpening pencil.The hand moves the pencil in quick, short strokes against the sharpener's blade, gradually revealing a sharper point as wood shavings fall away. The motion repeats rhythmically until the tip becomes fine and tapered."
7,"petting cat.The hand gently strokes the cat's back from head to tail in a smooth, repetitive motion, then pauses to scratch behind its ears before resuming the stroking."
8,"catching or throwing baseball.The player swiftly extends their arm forward, releasing the ball with a sharp flick of the wrist. The catcher reacts instantly, glove snapping shut as the ball thuds into the mitt."
9,"petting animal (not cat).The hand gently strokes the animal's fur in smooth, repetitive motions, moving from its head down to its back. The fingers occasionally pause to scratch lightly before continuing the rhythmic petting."
10,"cutting watermelon.The person lifts the knife and swiftly brings it down to slice through the watermelon, then repeats the motion in smooth, continuous cuts to divide the fruit into pieces."
11,"welding.The welder ignites the torch, moving it steadily along the joint as molten metal fuses the pieces together, then gradually lifts the torch to complete the seam. Sparks scatter as the flame extinguishes, leaving a glowing weld to cool."
12,"lunge.The person bends one knee forward while lowering the hips, then pushes back up to the starting position. The movement shifts weight dynamically between the front and back legs."
13,"parasailing.The person is lifted into the air as the parachute catches the wind, then glides smoothly while being towed by the boat before gradually descending back toward the water."
14,"waxing chest.The person applies wax to their chest in smooth, even strokes, then quickly pulls the wax strip off, removing the hair in one swift motion. The skin is left smooth as the wax is discarded."
15,"sticking tongue out.The tongue gradually protrudes outward from the mouth, then quickly retracts back inside. The movement is brief and playful, lasting just a second or two."
16,"swimming breaststroke.The swimmer's arms sweep outward and forward in a circular motion while the legs kick back in a frog-like motion, then the arms pull back as the legs tuck in for the next stroke. The head lifts to breathe as the arms extend forward, then submerges again as the legs propel the body forward."
17,"sled dog racing.The sled dogs sprint forward in unison, pulling the sled swiftly across the snow, then lean into turns as the musher shifts weight to navigate the course. Their pace varies with terrain, slowing on inclines and accelerating downhill."
18,"slacklining.The person shifts weight from one foot to the other, wobbling slightly while maintaining balance on the tensioned line, then steps forward or backward with controlled, fluid movements. Arms extend outward for stability as the body sways, adjusting to the line's subtle bounce and sway."
19,"triple jump.The athlete sprints forward, leaps into a hop, transitions into a step, and finally propels into a long jump before landing. The movement flows continuously from takeoff to landing in three distinct phases."
20,"playing volleyball.The player jumps to spike the ball, then lands and quickly moves back into position. They bend low to receive the serve before springing up to block."
21,"trapezing.The performer swings forward with arms extended, then tucks their legs and rotates backward before releasing into a mid-air somersault. They regrasp the bar smoothly to complete the dynamic movement."
22,"playing didgeridoo.The player's cheeks puff rhythmically as they blow into the didgeridoo, their lips vibrating steadily while their fingers tap along the instrument's surface. Their diaphragm expands and contracts deeply to sustain the drone, occasionally pausing to circular breathe."
23,"kitesurfing.The surfer crouches low, then springs up as the kite lifts them off the water, soaring and banking mid-air before descending smoothly back onto the surface."
24,"paragliding.The pilot runs forward, lifting off as the canopy catches wind, then glides smoothly through the air, adjusting the harness to steer and maintain altitude."
25,"scrambling eggs.The cook cracks eggs into a bowl, then swiftly whisks them with a fork until frothy. The mixture is poured into a hot pan and stirred continuously as it solidifies into fluffy curds."
