id,name
0,"Approaching something with your camera.The camera is held at eye level, pointing forward toward an object in the distance. The object occupies the center of the frame, appearing larger as the camera moves closer."
1,"Attaching something to something.One object is positioned adjacent to another, with their surfaces touching or overlapping slightly, indicating a connection or attachment between them."
2,"Bending something so that it deforms.An object is curved or folded, with its original straight or flat shape visibly altered into a bent or angular form, showing clear deformation at the bend point."
3,"Bending something until it breaks.An object is bent into a sharp angle, with visible stress and fractures at the bend point, and two straight sections on either side."
4,"Burying something in something.An object is partially submerged within a larger substance, with its top surface level with or slightly below the surrounding material's surface."
5,"Closing something.A hand moves downward, pressing a lid onto a container until their edges align and meet, sealing the opening completely."
6,"Covering something with something.One object is placed over another, fully or partially obscuring it from view. The covering object is in direct contact with or slightly above the covered object."
7,"Digging something out of something.A hand grips a shovel, its blade partially buried in a loose pile of dirt. The shovel angles upward, lifting a small mound of soil from the ground."
8,"Dropping something behind something.An object is positioned above and slightly behind another object, with the first object descending vertically toward the space directly behind the second object."
9,"Dropping something in front of something.An object is held above and slightly forward of another object, positioned to fall directly downward in front of it."
10,"Dropping something into something.An object is positioned above an open container, aligned vertically, with the object's bottom directly over the container's opening. The object appears ready to descend into the container."
11,"Dropping something next to something.An object is positioned slightly above and adjacent to another object, not in contact but close enough to imply imminent placement beside it."
12,"Dropping something onto something.An object is positioned above another object, not in contact, with the first object's bottom surface facing the second object's top surface."
13,"Failing to put something into something because something does not fit.An object is partially inserted into a container, with its edges misaligned. The container's opening is visibly smaller than the object's width, preventing full insertion."
14,"Folding something.A flat surface is bent or curved, bringing one edge toward another, creating overlapping layers or a crease along the fold line."
15,"Hitting something with something.A hand grips an object, swinging it downward toward another object positioned below, with the striking end aligned to make contact upon impact."
16,"Holding something.A hand grasps an object, fingers curled around it, with the palm supporting from below. The object rests securely within the hand's grip."
17,"Holding something behind something.A hand grasps an object positioned vertically behind another object, partially obscured from view, with both objects aligned in the same plane."
18,"Holding something in front of something.A hand grasps an object, positioned vertically in front of another object, with both items aligned along the same frontal plane, slightly spaced apart."
19,"Holding something next to something.A hand grasps an object, positioning it adjacent to another object, with both items aligned side by side in close proximity."
20,"Holding something over something.A hand grasps an object positioned directly above another object, with the held item suspended in mid-air, not touching the one below."
