id,name
0,"Approaching something with your camera.The camera gradually moves closer to the subject, smoothly narrowing the distance while maintaining focus. The framing tightens as the subject grows larger and more detailed in the view."
1,"Attaching something to something.The object moves toward the target and makes contact, then secures in place through fastening or adhesion. The attachment is completed as the connection becomes stable."
2,"Bending something so that it deforms.The object gradually curves as force is applied, bending from its original straight shape into a deformed arc. The bending continues until the material reaches its maximum deformation."
3,"Bending something until it breaks.The person gradually applies force, bending the object until it reaches its limit; with a sudden snap, the object breaks into two separate pieces."
4,"Burying something in something.The person digs into the material, then places an object inside and covers it by pushing the surrounding material back over the top. The motion shifts from active digging to deliberate concealment."
5,"Closing something.The hands move inward, pressing the edges together until they meet, then the fingers tighten to secure the closure. The motion slows as the object fully shuts."
6,"Covering something with something.The hand moves downward, placing an object over another to conceal it, then smoothly slides or presses to ensure full coverage. The motion is deliberate and ends with the covered item no longer visible."
7,"Digging something out of something.The person reaches into a container, then pulls out an object with a scooping motion. Their arm moves upward, lifting the item out while their hand remains clenched around it."
8,"Dropping something behind something.The object is held and then released, falling downward behind another object as it descends out of view. The motion shifts from a controlled grip to a sudden drop, disappearing behind the obstruction."
9,"Dropping something in front of something.An object falls downward from a higher position, descending in front of another stationary object until it lands or passes out of view. The movement is quick and direct, with no lateral motion."
10,"Dropping something into something.The object is held briefly before being released, falling downward into the container. The movement transitions from a controlled drop to a sudden impact as it lands inside."
11,"Dropping something next to something.The object is held briefly before being released, falling downward beside the other item. The movement ends as it comes to rest adjacent to the stationary object."
12,"Dropping something onto something.The object is released from a higher position and descends downward, then makes contact with the surface below, causing a brief impact or bounce upon landing."
13,"Failing to put something into something because something does not fit.The person attempts to insert an object but struggles as it doesn't align properly, then gives up after repeated failed attempts. The motion shifts from forceful pushing to hesitant withdrawal."
14,"Folding something.The hands smoothly bring the edges together, pressing and creasing the material into neat folds. The motion repeats, layering the folds until the object is compactly shaped."
15,"Hitting something with something.The object swings forward and makes contact with the target, then quickly recoils or follows through. The motion is sharp and forceful, with a clear impact point."
16,"Holding something.The person's hands remain steady, maintaining a firm grasp on the object without noticeable movement. Their fingers stay curled around it, showing no change in pressure or position."
17,"Holding something behind something.The person reaches behind an object, holding an item concealed from view, then smoothly retracts their hand, keeping the object hidden throughout the movement."
18,"Holding something in front of something.The person's hand moves forward and remains steady, holding an object in front of another. The object stays in position without shifting or dropping."
19,Holding something next to something.The hand moves an object close to another object and maintains their proximity without further movement. Both objects stay adjacent in a steady position.
20,"Holding something over something.The hand moves steadily to position an object above a surface, then pauses to maintain it there without lowering. The grip remains firm while the object hovers briefly before the action completes."
21,"Laying something on the table on its side, not upright.The object is tilted horizontally as it moves downward, then gently placed flat on the table surface, remaining on its side without standing upright."
22,"Letting something roll along a flat surface.The object starts rolling smoothly from rest, gradually gaining speed as it moves forward along the surface. Its rotation remains steady until it slows down and eventually stops."
23,"Letting something roll down a slanted surface.The object starts moving slowly at the top, then gradually accelerates as it rolls downward along the slope, gaining speed until it reaches the bottom."
24,"Letting something roll up a slanted surface, so it rolls back down.The object rolls upward along the slanted surface, gradually slowing until it stops momentarily, then reverses direction and rolls back down."
25,"Lifting a surface with something on it but not enough for it to slide down.The surface tilts upward steadily, causing the object to shift slightly but remain in place without sliding. The lifting pauses as the object balances at a subtle angle."
26,"Lifting a surface with something on it until it starts sliding down.The surface is gradually lifted upward, causing the object on it to tilt and shift until gravity overcomes friction, making the object slide downward."
27,"Lifting something up completely without letting it drop down.The object is steadily raised upward with continuous force, maintaining a controlled ascent until it reaches the highest point without any downward movement. The motion remains smooth and uninterrupted throughout the lift."
28,"Lifting something up completely, then letting it drop down.The object is steadily raised to its highest point, then released to fall freely downward. The motion transitions smoothly from controlled ascent to sudden descent upon release."
29,"Lifting something with something on it.The object is steadily raised upward while the item on top remains balanced. The lifting motion is smooth and controlled, keeping the load stable throughout."
30,"Lifting up one end of something without letting it drop down.The person gradually raises one end of the object with a steady upward motion, maintaining control to prevent it from tilting or falling. The movement is smooth and continuous without any sudden drops."
31,"Lifting up one end of something, then letting it drop down.The object is raised at one end, then released to fall back down. The motion transitions smoothly from upward movement to a sudden drop."
32,"Moving away from something with your camera.The camera gradually pulls back, creating distance from the subject as the view widens. The movement is smooth, shifting focus from a close-up to a broader perspective."
33,"Moving part of something.The part shifts smoothly from its initial position, gradually accelerating before slowing down to a stop. Its movement traces a slight arc, ending slightly offset from the starting point."
34,"Moving something across a surface until it falls down.The object slides steadily along the surface, gradually losing balance before tipping over the edge and dropping out of view."
35,"Moving something across a surface without it falling down.The object slides steadily along the surface, maintaining continuous contact without tipping or losing balance as it moves smoothly from one point to another."
36,"Moving something and something away from each other.The objects gradually separate as one moves to the left while the other shifts to the right, creating increasing distance between them over time. Their speeds remain steady until fully apart."
37,"Moving something and something closer to each other.The objects gradually approach each other as one or both are moved inward, reducing the distance between them until they nearly touch or meet."
38,"Moving something and something so they collide with each other.One object moves toward another, accelerating as they approach. The two objects collide forcefully, causing a brief impact before separating or stopping."
39,"Moving something and something so they pass each other.The object moves horizontally to the right while the other moves left, crossing paths midway. Their trajectories intersect briefly before continuing in opposite directions."
40,"Moving something away from something.The object is initially close to another, then gradually shifts away, increasing the distance between them until it stops at a new position farther apart."
41,"Moving something away from the camera.The object gradually moves farther from the camera, shrinking in size as it recedes into the distance until it nearly disappears from view."
42,"Moving something closer to something.The object gradually approaches the target, starting from a distance and steadily reducing the gap between them until they nearly touch. The movement is smooth and continuous without sudden changes in speed."
43,"Moving something down.The object is initially held at a higher position, then gradually lowered downward in a smooth, controlled motion until it reaches the lower destination."
44,"Moving something towards the camera.The object gradually approaches the camera, growing larger in the frame as it moves closer until it dominates the view. Its speed may vary, but the motion consistently narrows the distance."
