id,name
0,Typing
1,Basketball Dunk
2,Brushing Teeth
3,Skiing
4,Wall Pushups
5,Biking
6,Soccer Penalty
7,Baby Crawling
8,Boxing Speed Bag
9,Haircut
10,Nunchucks
11,Shotput
12,Basketball
13,Cliff Diving
14,Front Crawl
15,Golf Swing
16,Handstand Pushups
17,Apply Eye Makeup
18,Rowing
19,Table Tennis Shot
20,Cricket Bowling
21,Rock Climbing Indoor
22,Archery
23,Diving
24,Hammer Throw
25,Kayaking
26,Head Massage
27,Jump Rope
28,Baseball Pitch
29,Hammering
30,Playing Flute
31,Writing On Board
32,Soccer Juggling
33,Pole Vault
34,Billiards
35,Playing Daf
36,Band Marching
37,Bench Press
38,Bowling
39,Ice Dancing
40,Playing Sitar
41,Boxing Punching Bag
42,Horse Riding
43,Playing Dhol
44,Drumming
45,Playing Guitar
46,Tennis Swing
47,Cricket Shot
48,Shaving Beard
49,Playing Cello
50,Punch
51,Playing Violin
52,Pull Ups
53,Push Ups
54,Skijet
55,Tai Chi
56,Breast Stroke
57,Blowing Candles
58,Mopping Floor
59,Uneven Bars
60,Balance Beam
61,Cutting In Kitchen
62,Fencing
63,Handstand Walking
64,Parallel Bars
65,Playing Piano
66,Clean And Jerk
67,Sky Diving
68,Pizza Tossing
69,Playing Tabla
70,Still Rings
71,Juggling Balls
72,Volleyball Spiking
73,Apply Lipstick
74,Body Weight Squats
75,Sumo Wrestling
76,Rafting
77,Rope Climbing
78,Field Hockey Penalty
79,High Jump
80,Javelin Throw
81,Jumping Jack
82,Trampoline Jumping
83,Walking With Dog
84,Pommel Horse
85,Skate Boarding
86,Floor Gymnastics
87,Frisbee Catch
88,Horse Race
89,Knitting
90,Swing
91,Lunges
92,Salsa Spin
93,Hula Hoop
94,Mixing
95,Long Jump
96,Military Parade
97,Throw Discus
98,YoYo
99,Blow Dry Hair
100,Surfing
