id,name
0,"Typing.Fingers curved over keyboard keys, wrists slightly raised, thumbs near spacebar, fingertips lightly touching key surfaces, hands positioned symmetrically above the home row."
1,"Basketball Dunk.A player leaps upward, arms extended above the rim, gripping the basketball with both hands. The ball is positioned slightly in front of the head, poised to be forcefully slammed downward into the hoop."
2,"Brushing Teeth.A person holds a toothbrush near their mouth, bristles touching teeth. The brush is angled slightly upward, with the other hand possibly holding a toothpaste tube."
3,"Skiing.A skier stands on skis, feet shoulder-width apart, knees slightly bent, poles held at sides, body leaning forward, skis parallel on a snowy slope."
4,"Wall Pushups.The person stands facing a wall, arms extended forward with palms flat against the wall at shoulder height, feet planted slightly apart on the ground."
5,"Biking.A person sits on a bicycle seat, hands gripping the handlebars, feet on pedals, body slightly forward, legs bent at the knees, and arms extended."
6,"Soccer Penalty.A player stands facing the goal, ball placed on the penalty spot, goalkeeper positioned at the goal line, ready to defend."
7,"Baby Crawling.A baby lies on its stomach, arms and knees bent, hands and knees touching the ground. The head is slightly raised, eyes forward, torso parallel to the floor."
8,"Boxing Speed Bag.A person stands with fists raised near a small punching bag, arms bent at the elbows, hands positioned slightly above shoulder height, facing the bag squarely."
9,"Haircut.A person sits on a chair, a barber stands behind, holding scissors near the person's head, with hair strands visible between the blades."
10,"Nunchucks.Two wooden sticks connected by a short chain, held in one hand with the other stick hanging freely or swung in a circular motion."
11,"Shotput.An athlete stands with feet shoulder-width apart, holding a shot in one hand near the neck, elbow bent outward, torso slightly rotated away from the throwing arm."
12,"Basketball.A player stands with knees slightly bent, holding a basketball with both hands near the chest. The ball is positioned in front of the torso, elbows out. Feet are shoulder-width apart."
13,"Cliff Diving.A diver stands upright at the cliff's edge, arms extended sideways, toes gripping the rocky ledge. The body leans slightly forward, poised above the steep drop into open space below."
14,"Front Crawl.The swimmer's body is horizontal, arms alternately extended forward underwater, legs flutter-kicking behind, head turned sideways for breathing, torso slightly rotating with each stroke."
15,"Golf Swing.A golfer stands with feet shoulder-width apart, knees slightly bent, holding a club with both hands. The club is raised behind the head, angled diagonally, poised to swing downward toward an imaginary ball."
16,"Handstand Pushups.The person is upside down, hands on the ground shoulder-width apart, arms extended straight, legs together and pointing vertically upward, body aligned in a straight line."
17,"Apply Eye Makeup.A person's hand holds an eyeliner brush near their eye, with fingers gently pulling the eyelid upward. The brush tip touches the lash line."
18,"Rowing.A person sits on a sliding seat, gripping an oar with both hands. The oar extends horizontally over the water, with one end submerged while the other is raised above the shoulder."
19,"Table Tennis Shot.A player stands sideways, knees slightly bent, holding a paddle forward at waist height, facing a small ball suspended mid-air near the paddle's striking surface."
20,"Cricket Bowling.The bowler stands upright, one arm raised with the ball, the other extended forward. Feet are positioned in a stride, one slightly ahead, body slightly leaned forward."
21,"Rock Climbing Indoor.A climber grips textured holds on a vertical wall, feet pressing small footholds, body leaning slightly outward, arms extended upward to reach the next hold."
22,"Archery.The archer stands upright, feet shoulder-width apart, bow held vertically in the left hand, right hand drawing the string back near the cheek, arrow nocked and aligned with the target."
23,"Diving.A diver's body is arched, arms extended forward, head tucked, legs straight and together, positioned vertically above the water surface."
24,"Hammer Throw.The athlete stands with feet apart, gripping the hammer handle with both hands. The hammer's chain extends outward, forming a circular arc around the body at waist height."
25,"Kayaking.A person sits in a narrow kayak, legs extended forward, holding a double-bladed paddle with both hands, arms slightly bent, torso upright, and feet braced against footrests."
26,"Head Massage.A hand gently presses on a person's head, fingers spread across the scalp, thumbs resting near the temples, palms cupping the sides."
27,"Jump Rope.A person stands upright, holding a jump rope's handles with arms slightly bent. The rope forms an arc beneath their feet, ready to swing overhead."
28,"Baseball Pitch.The pitcher stands on the mound, one foot on the rubber, body slightly crouched, glove hand extended forward, throwing hand drawn back near the ear, eyes focused toward home plate."
29,"Hammering.A person's hand grips a hammer's handle, with the hammerhead raised above a nail. The nail stands upright on a flat surface, positioned directly beneath the hammerhead."
30,"Playing Flute.A person holds a flute horizontally near their mouth, fingers pressing keys, elbows slightly out, head tilted forward, and the flute extending to one side."
31,"Writing On Board.A person stands facing a vertical board, holding a marker near its surface. The arm is extended, with the hand positioned to write, and the marker touches the board."
32,"Soccer Juggling.A player balances a soccer ball on one foot, with the other leg slightly bent. The ball rests just above the toes, arms extended for balance, torso upright."
33,"Pole Vault.A person holds a long pole vertically, planting one end into the ground while leaning forward, with the body arched mid-air over the pole."
34,"Billiards.A cue stick strikes a white ball, which then collides with colored balls arranged in a triangular formation on a green felt surface."
35,"Playing Daf.A person holds the circular Daf drum with both hands, fingers spread across the frame, palms facing inward, arms slightly bent at the elbows."
36,"Band Marching.Band members stand in straight rows, evenly spaced. Instruments are held upright at chest level. Flags and banners are raised vertically. Feet are aligned in uniform steps."
37,"Bench Press.A person lies supine on a bench, gripping a barbell with hands slightly wider than shoulder-width. The barbell is positioned directly above the chest, supported by extended arms."
38,"Bowling.A person stands upright, holding a bowling ball with both hands near the waist. The arm is extended forward, aligning with the shoulder, ready to swing."
39,"Ice Dancing.Two skaters glide closely, one's arm around the other's waist, legs extended in mirrored poses, blades parallel on ice, torsos slightly leaned, heads turned toward each other."
