id,name
0,"Typing.Fingers rapidly press and lift from the keys in a rhythmic sequence, creating a continuous flow of movement as hands shift slightly between strokes."
1,"Basketball Dunk.The player leaps upward, extending their arm to slam the ball into the hoop, then descends as the ball drops through the net. The motion is quick and forceful, lasting just a few seconds."
2,"Brushing Teeth.The person lifts the toothbrush to their mouth and moves it back and forth in short strokes. After a while, they rinse their mouth and spit out the toothpaste."
3,"Skiing.The skier glides down the slope, shifting weight smoothly between turns, then crouches low to gain speed before leaning back to brake. Arms swing rhythmically for balance as the body flows with the terrain."
4,"Wall Pushups.The person starts with arms extended, pushing against the wall, then bends elbows to lower their chest toward the wall before pushing back up to the starting position. The movement repeats rhythmically."
5,"Biking.The cyclist pedals steadily, legs moving in rhythmic circles as the bike gains speed, then leans into a turn, shifting balance smoothly before straightening up again."
6,"Soccer Penalty.The player approaches the ball with a short run-up, then swiftly kicks it toward the goal. The goalkeeper dives to one side, stretching to block the shot."
7,"Baby Crawling.The baby starts on all fours, then moves forward by alternately extending arms and legs in a crawling motion. The limbs coordinate rhythmically as the baby progresses across the surface."
8,"Boxing Speed Bag.The boxer rapidly strikes the speed bag with alternating fists in a rhythmic, continuous motion, maintaining a steady tempo as the bag rebounds quickly between hits."
9,"Haircut.The barber trims the hair with scissors, moving steadily from the sides to the back, then shapes the fringe with quick, precise cuts. The client's hair gradually shortens as layers fall away."
10,"Nunchucks.The practitioner swiftly swings the nunchucks in alternating circular motions, transitioning into rapid figure-eight patterns with fluid wrist rotations. The movement accelerates into a series of sharp strikes and recoils, showcasing dynamic control and rhythmic flow."
11,"Shotput.The athlete starts by swinging the shot back, then rapidly extends their arm forward to propel it outward. The motion transitions from a coiled stance to a powerful explosive release."
12,"Basketball.The player dribbles the ball quickly, then jumps and shoots it toward the basket. The ball arcs through the air before swishing into the net."
13,"Cliff Diving.The diver leaps off the cliff, arms outstretched, then tucks into a tight somersault before straightening the body to enter the water headfirst with minimal splash."
14,"Front Crawl.The swimmer extends their arms forward alternately while kicking their legs in a continuous flutter, maintaining a streamlined body position throughout the stroke cycle. The head turns sideways to breathe every few strokes before returning face-down into the water."
15,"Golf Swing.The golfer starts with a smooth backswing, lifting the club upward, then transitions into a powerful downswing, accelerating through impact as the club follows through in a controlled arc."
16,"Handstand Pushups.The athlete kicks up into a handstand, then lowers their head toward the ground by bending their elbows before explosively pushing back up to full extension, repeating the motion rhythmically."
